Num	Loc	Z 3.5	Z 4.4144	Z 5.3288	Z 6.2432	Z 7.1576	Z 8.072	Z 8.9864	Z 9.9008	Z 10.8152	Z 11.7296	Z 12.644
180	331.126	914.3384	914.275	914.2184	914.1606	914.1102	914.0717	914.0312	913.9916	913.9537	913.9424	913.9294
181	332.0404	914.3401	914.2849	914.2281	914.1672	914.121	914.0751	914.0447	914.0157	913.9887	913.9647	913.948
182	332.9548	914.3452	914.2971	914.2457	914.1923	914.137	914.0923	914.0537	914.0372	914.0148	913.9883	913.9683
183	333.8692	914.3459	914.2914	914.2425	914.1903	914.1415	914.1031	914.0613	914.0309	914.0092	913.989	913.9727
184	334.7836	914.3387	914.2891	914.2343	914.1839	914.1393	914.1022	914.0704	914.0337	914.0029	913.9763	913.9608
185	335.698	914.3395	914.281	914.2191	914.1723	914.1311	914.0906	914.0531	914.0244	913.9888	913.9611	913.929
186	336.6124	914.3275	914.2737	914.2165	914.1633	914.1158	914.0788	914.0378	914.0013	913.9715	913.9421	913.926
187	337.5268	914.3278	914.2714	914.2145	914.1656	914.1288	914.0876	914.0413	914.005	913.9742	913.9374	913.9312
188	338.4412	914.3314	914.2705	914.2102	914.179	914.1287	914.0889	914.0532	914.0206	913.9933	913.9664	913.9415
189	339.3556	914.3185	914.266	914.2106	914.1705	914.118	914.0836	914.0477	914.0194	913.9822	913.9651	913.9391
190	340.27	914.3155	914.2607	914.212	914.1635	914.1173	914.0743	914.0452	914.0094	913.9816	913.9568	913.93
191	341.1844	914.3188	914.2611	914.2264	914.1792	914.1331	914.1003	914.0551	914.0244	913.9932	913.98	913.944
192	342.0988	914.3294	914.2894	914.2499	914.201	914.1538	914.1173	914.0793	914.0545	914.028	914.0082	913.9807
193	343.0132	914.3486	914.2894	914.2347	914.1736	914.1318	914.0792	914.0493	914.0269	914.0231	914.0157	913.9921
194	343.9276	914.3378	914.2726	914.2242	914.1607	914.1112	914.0669	914.0446	914.0363	914.0392	914.0399	914.0316
195	344.842	914.3299	914.2709	914.192	914.1384	914.1041	914.0891	914.0886	914.0916	914.0927	914.1065	914.0889
196	345.7564	914.3155	914.2277	914.1564	914.1288	914.1176	914.1139	914.113	914.0817	914.069	914.0585	914.0628
197	346.6708	914.2828	914.1949	914.1571	914.1454	914.1389	914.1357	914.0773	914.0359	914.0382	913.9953	913.9681
198	347.5852	914.2633	914.2096	914.1974	914.1923	914.1847	914.1416	914.0544	914.0217	914.0222	913.9578	913.8707
199	348.4996	914.2765	914.2505	914.2237	914.2209	914.1768	914.104	914.0417	914.0512	914.0522	913.9396	914.0875
200	349.414	914.2921	914.2739	914.2553	914.2054	914.1313	914.0564	914.02	914.0195	913.9861	913.9908	914.0314
201	350.3284	914.3	914.2888	914.2247	914.1638	914.0629	914.0188	913.9985	914.0029	913.9525	913.9744	914.0135
202	351.2428	914.3168	914.2753	914.2241	914.0915	914.0287	913.9539	913.9659	913.9355	913.9173	913.9492	914.001
203	352.1572	914.3322	914.2661	914.1625	914.0765	914.035	913.9875	913.9816	913.9272	913.9215	913.9515	914.2553
204	353.0716	914.3472	914.2896	914.1397	914.0538	914.0313	914.0073	913.9963	913.9551	913.9909	914.025	914.3013
205	353.986	914.3537	914.2847	914.0967	914.0422	914.0056	914.0262	913.9763	913.9748	913.9751	914.0668	914.2324
206	354.9004	914.3553	914.2437	914.0955	914.0172	914.0164	914.0199	913.973	913.9647	913.9477	914.0658	914.1044
207	355.8148	914.3652	914.2197	914.0898	914.0109	914.006	914.0164	913.9749	913.9372	913.9341	914.0687	914.1317
208	356.7292	914.3657	914.2257	914.069	914.0162	914.0208	914.0114	913.9842	913.9578	913.995	914.0966	914.1254
209	357.6436	914.3622	914.2306	914.0818	913.9943	913.9995	914.0043	913.9608	913.9859	914.0013	914.0037	914.1929
210	358.558	914.3354	914.2173	914.0523	913.9923	913.96	913.9736	913.951	913.9693	914.0156	914.0493	914.1691
211	359.4724	914.3463	914.2164	914.0741	913.9818	913.951	913.9695	913.9581	913.9532	914.0305	914.0532	914.0945
212	360.3868	914.3616	914.2194	914.0475	914.0037	913.9778	913.9989	913.9608	913.9747	914.0257	914.1281	914.0502
213	361.3012	914.3365	914.2112	914.021	913.9906	913.985	913.9784	913.957	913.9557	913.9591	914.1398	914.0545
214	362.2156	914.3503	914.2148	914.0018	913.9829	913.9524	913.9605	913.9262	913.9385	913.9371	914.2392	914.1049
215	363.13	914.3508	914.2007	914.0078	913.9755	913.942	913.9567	913.9191	913.9248	913.9539	914.1673	914.4904
216	364.0444	914.3314	914.192	914.0331	913.9612	913.9485	913.9843	913.9603	913.9547	913.9713	914.1457	914.5314
217	364.9588	914.3555	914.2083	914.046	914.0114	914.0016	913.9882	913.9843	913.9829	913.989	914.3542	914.0596
218	365.8732	914.3207	914.1918	914.0135	914.0052	913.9721	913.9611	913.9602	913.9625	913.9585	914.2852	914.0782
219	366.7876	914.354	914.2061	914.0502	913.9833	913.9834	913.9638	913.9596	913.9617	913.9682	914.2394	915.2582
220	367.702	914.3235	914.1789	914.0198	913.9651	913.9459	913.9467	913.9389	913.9197	913.9377	914.1881	914.3338
221	368.6164	914.3185	914.1855	914.02	913.9905	913.9717	913.9494	913.9293	913.9332	913.9442	914.1479	915.4104
222	369.5308	914.3412	914.1589	914.0112	913.9831	913.9717	913.9734	913.9491	913.938	913.933	914.2397	914.4283
223	370.4452	914.3231	914.1792	914.0319	913.9894	913.9532	913.9212	913.9437	913.926	913.9365	914.206	914.7584
